2, 2, 1, 4, 50, 15
2, 2, 1, 4, 53, 15
2, 2, 1, 5, 49, 15
2, 2, 1, 5, 50, 16
2, 2, 1, 5, 53, 16
2, 2, 1, 5, 54, 15
2, 2, 1, 6, 49, 16
2, 2, 1, 6, 55, 15
2, 2, 1, 7, 47, 15
2, 2, 1, 7, 48, 16
2, 2, 1, 8, 46, 15
2, 2, 1, 8, 47, 16
2, 2, 1, 9, 45, 3
2, 2, 1, 9, 46, 16
2, 2, 1, 10, 44, 4
2, 2, 1, 12, 46, 16
2, 2, 1, 12, 49, 16
2, 2, 1, 11, 43, 4
2, 2, 1, 13, 47, 15
2, 2, 1, 12, 42, 4
2, 2, 1, 14, 41, 4
2, 2, 1, 17, 41, 4
2, 2, 1, 15, 52, 22
2, 2, 1, 16, 47, 25
2, 2, 1, 19, 42, 4
2, 2, 1, 17, 46, 25
2, 2, 1, 20, 43, 4
2, 2, 1, 21, 44, 4
2, 2, 1, 19, 45, 25
2, 2, 1, 22, 45, 25
2, 2, 1, 23, 46, 25
2, 2, 1, 24, 47, 4
2, 2, 1, 25, 48, 4
2, 2, 1, 24, 33, 5
2, 2, 1, 24, 36, 5
2, 2, 1, 26, 49, 4
2, 2, 1, 25, 32, 5
2, 2, 1, 25, 33, 7
2, 2, 1, 25, 36, 7
2, 2, 1, 25, 37, 6
2, 2, 1, 27, 50, 4
2, 2, 1, 26, 31, 5
2, 2, 1, 26, 32, 7
2, 2, 1, 26, 37, 7
2, 2, 1, 26, 38, 6
2, 2, 1, 28, 51, 4
2, 2, 1, 27, 30, 5
2, 2, 1, 27, 31, 7
2, 2, 1, 27, 38, 7
2, 2, 1, 27, 39, 6
2, 2, 1, 28, 29, 5
2, 2, 1, 28, 30, 7
2, 2, 1, 28, 38, 14
2, 2, 1, 28, 42, 14
2, 2, 1, 28, 47, 4
2, 2, 1, 28, 50, 4
2, 2, 1, 29, 28, 5
2, 2, 1, 29, 29, 7
2, 2, 1, 29, 43, 14
2, 2, 1, 29, 46, 4
2, 2, 1, 30, 27, 5
2, 2, 1, 30, 28, 7
2, 2, 1, 30, 44, 14
2, 2, 1, 30, 45, 4
2, 2, 1, 31, 26, 5
2, 2, 1, 31, 27, 7
2, 2, 1, 31, 45, 14
2, 2, 1, 32, 25, 5
2, 2, 1, 32, 26, 7
2, 2, 1, 32, 46, 14
2, 2, 1, 33, 24, 5
2, 2, 1, 33, 25, 7
2, 2, 1, 35, 38, 14
2, 2, 1, 34, 23, 5
2, 2, 1, 34, 24, 7
2, 2, 1, 36, 41, 14
2, 2, 1, 35, 23, 6
2, 2, 1, 38, 23, 6
2, 2, 1, 38, 24, 7
2, 2, 1, 39, 24, 6
2, 2, 1, 39, 25, 7
2, 2, 1, 40, 25, 6
2, 2, 1, 40, 26, 7
2, 2, 1, 41, 26, 6
2, 2, 1, 41, 25, 21
2, 2, 1, 41, 26, 22
2, 2, 1, 41, 29, 22
2, 2, 1, 42, 24, 21
2, 2, 1, 44, 26, 22
2, 2, 1, 44, 29, 22
2, 2, 1, 42, 30, 21
2, 2, 1, 43, 23, 3
2, 2, 1, 45, 24, 21
2, 2, 1, 43, 31, 21
2, 2, 1, 44, 13, 3
2, 2, 1, 44, 18, 3
2, 2, 1, 44, 22, 3
2, 2, 1, 44, 23, 18
2, 2, 1, 46, 25, 21
2, 2, 1, 45, 19, 3
2, 2, 1, 47, 22, 3
2, 2, 1, 45, 23, 20
2, 2, 1, 47, 26, 21
2, 2, 1, 46, 12, 4
2, 2, 1, 46, 15, 4
2, 2, 1, 46, 20, 3
2, 2, 1, 48, 23, 20
2, 2, 1, 46, 32, 16
2, 2, 1, 47, 11, 4
2, 2, 1, 47, 16, 28
2, 2, 1, 47, 21, 28
2, 2, 1, 47, 22, 7
2, 2, 1, 49, 24, 20
2, 2, 1, 48, 12, 6
2, 2, 1, 48, 16, 6
2, 2, 1, 48, 23, 7
2, 2, 1, 49, 10, 4
2, 2, 1, 49, 11, 6
2, 2, 1, 50, 10, 6
2, 2, 1, 50, 24, 2
2, 2, 1, 51, 9, 6
2, 2, 1, 51, 24, 3
2, 2, 1, 51, 25, 2
2, 2, 1, 52, 25, 3
2, 2, 1, 52, 26, 2
2, 2, 1, 53, 8, 6
2, 2, 1, 57, 7, 6
4, 50, 15, 2, 2, 1
4, 50, 15, 8, 53, 16
4, 50, 15, 7, 56, 3
4, 50, 15, 8, 58, 6
4, 50, 15, 9, 59, 6
4, 50, 15, 10, 60, 6
4, 50, 15, 12, 57, 22
4, 50, 15, 12, 60, 22
4, 50, 15, 13, 55, 22
4, 50, 15, 13, 61, 22
4, 50, 15, 14, 54, 22
4, 50, 15, 16, 52, 25
4, 50, 15, 17, 53, 25
4, 50, 15, 20, 53, 22
4, 50, 15, 21, 53, 25
4, 50, 15, 22, 69, 20
4, 50, 15, 23, 70, 20
4, 50, 15, 32, 54, 21
4, 50, 15, 33, 87, 14
4, 50, 15, 33, 93, 11
4, 50, 15, 33, 95, 17
4, 50, 15, 34, 88, 14
4, 50, 15, 35, 89, 14
4, 50, 15, 38, 33, 7
4, 50, 15, 39, 32, 7
4, 50, 15, 40, 31, 7
4, 50, 15, 41, 30, 6
4, 50, 15, 46, 31, 21
4, 50, 15, 47, 30, 21
4, 50, 15, 47, 31, 20
4, 50, 15, 48, 30, 20
4, 50, 15, 49, 29, 20
4, 50, 15, 48, 22, 28
4, 50, 15, 49, 23, 28
4, 53, 15, 2, 2, 1
4, 53, 15, 9, 55, 15
4, 53, 15, 11, 61, 6
4, 53, 15, 12, 62, 5
4, 53, 15, 13, 63, 5
4, 53, 15, 14, 64, 5
4, 53, 15, 15, 62, 6
4, 53, 15, 15, 65, 5
4, 53, 15, 16, 65, 9
4, 53, 15, 16, 66, 5
4, 53, 15, 17, 66, 9
4, 53, 15, 17, 67, 5
4, 53, 15, 18, 68, 5
4, 53, 15, 19, 69, 5
4, 53, 15, 22, 52, 25
4, 53, 15, 20, 70, 5
4, 53, 15, 21, 71, 5
4, 53, 15, 22, 66, 20
4, 53, 15, 22, 72, 5
4, 53, 15, 23, 71, 17
4, 53, 15, 23, 73, 5
4, 53, 15, 24, 72, 17
4, 53, 15, 27, 70, 20
4, 53, 15, 27, 53, 14
4, 53, 15, 30, 53, 14
4, 53, 15, 31, 54, 14
4, 53, 15, 31, 77, 16
4, 53, 15, 31, 81, 16
4, 53, 15, 32, 82, 16
4, 53, 15, 33, 83, 16
4, 53, 15, 36, 54, 21
4, 53, 15, 34, 78, 18
4, 53, 15, 38, 54, 20
4, 53, 15, 38, 83, 16
4, 53, 15, 38, 89, 14
4, 53, 15, 39, 88, 14
4, 53, 15, 39, 93, 11
4, 53, 15, 39, 95, 17
5, 49, 15, 2, 2, 1
5, 49, 15, 9, 52, 16
5, 49, 15, 34, 37, 7
5, 49, 15, 35, 36, 7
5, 49, 15, 36, 35, 7
5, 49, 15, 36, 59, 24
5, 49, 15, 37, 34, 7
5, 49, 15, 37, 36, 3
5, 49, 15, 40, 33, 5
5, 49, 15, 42, 34, 3
5, 49, 15, 47, 31, 16
5, 49, 15, 48, 30, 16
5, 49, 15, 52, 29, 16
5, 49, 15, 53, 28, 5
5, 49, 15, 53, 30, 16
5, 49, 15, 51, 65, 26
5, 49, 15, 55, 65, 26
5, 49, 15, 54, 28, 5
5, 49, 15, 56, 66, 26
5, 50, 16, 2, 2, 1
5, 50, 16, 10, 54, 15
5, 50, 16, 32, 55, 14
5, 50, 16, 33, 55, 16
5, 50, 16, 36, 55, 16
5, 50, 16, 37, 59, 15
5, 50, 16, 45, 59, 15
5, 50, 16, 45, 60, 13
